config,n,chi2_lcdm,chi2_mcmc,argmin_lcdm,argmin_mcmc,at_boundary_lcdm,at_boundary_mcmc,delta_chi2,aic_lcdm,aic_mcmc,bic_lcdm,bic_mcmc,delta_aic,delta_bic,omega_m_lcdm,omega_m_mcmc,eps_median,eps_minus,eps_plus,eps_width_ratio_vs_prior,conv_lcdm,conv_mcmc,shift_omega_m_vs_ALL,shift_omega_m_lcdm_vs_ALL,shift_eps_vs_ALL
DESI_ALL,13,10.28400728046132,10.057787878979546,"[0.29713659513141744, 10154.908475363556]","[0.2962714434843773, 10137.879815226335, -0.04999999994089184, 1.0000000000608742]",False,True,-0.22621940148177444,14.28400728046132,18.057787878979546,15.413905995384393,20.31758530882569,3.7737805985182256,4.903679313441298,0.2971410542223293,0.2974612235858398,0.015411427282442169,0.03801242575869883,0.043316599415961554,1.0008570968652108,True,True,0.0,0.0,0.0
DESI_MINUS_BGS,12,9.91257802638786,9.771058950488333,"[0.2944600378403716, 10181.922603717141]","[0.2939265815620207, 10161.356027385833, -0.04999999994089184, 1.0000000000608742]",False,True,-0.14151907589952728,13.91257802638786,17.77105895048833,14.882391325963862,19.710685549640335,3.858480924100471,4.8282942236764725,0.2949216212648917,0.29438635498644455,0.016006177845893543,0.03770785254864048,0.042581211900513755,0.9880590574155972,True,True,-0.003074868599395264,-0.002219432957437595,0.0005947505634513739
DESI_MINUS_LRG_Z0,11,5.707134622610459,5.64184978750379,"[0.2923233444748872, 10203.85320866485]","[0.29155136660809894, 10185.521843902581, -0.04999999994089184, 1.0000000000608742]",False,True,-0.06528483510666927,9.70713462261046,13.64184978750379,10.5029251682072,15.233430878697273,3.9347151648933316,4.730505710490073,0.29246407271976305,0.2930849890371324,0.01649379775861087,0.03919720707133277,0.04445791019435687,1.0294826185933874,True,True,-0.004376234548707392,-0.004676981502566235,0.0010823704761687009
DESI_MINUS_LRG_Z1,11,5.863123462351809,5.799462754506836,"[0.29928431335108324, 10115.174823458121]","[0.29845806484585263, 10098.317660618843, -0.04999999994089184, 1.0000000000608742]",False,True,-0.06366070784497335,9.863123462351808,13.799462754506836,10.65891400794855,15.391043845700318,3.9363392921550275,4.732129837751769,0.29944409575226427,0.29982073996543435,0.017463769174916016,0.03925024135430871,0.04202405772955655,1.000183622712061,True,True,0.0023595163795945284,0.0023030415299349905,0.0020523418924738475
DESI_MINUS_LRGPLUSELG,11,9.395691883925512,9.065202474464158,"[0.2995730947155866, 10136.045017221093]","[0.2987908669070025, 10119.73459615427, -0.04999999994089184, 1.0000000000608742]",False,True,-0.33048940946135374,13.395691883925512,17.065202474464158,14.191482429522253,18.65678356565764,3.6695105905386463,4.465301136135388,0.29985670541747955,0.30051498977748126,0.01755162922658001,0.03975540309103545,0.04222266610297909,1.008844409040089,True,True,0.0030537661916414383,0.0027156511951502704,0.002140201944137842
DESI_MINUS_ELG,11,9.844671594381772,9.590983505995624,"[0.29862774907952333, 10144.522208240765]","[0.297858971035956, 10127.324976866254, -0.04999999994089184, 1.0000000000608742]",False,True,-0.25368808838614854,13.844671594381772,17.590983505995624,14.640462139978514,19.182564597189106,3.7463119116138515,4.542102457210593,0.29907199133388856,0.2986511060010925,0.01625375876757336,0.03871806034808051,0.041937627893508404,0.9925708294889728,True,True,0.0011898824152526966,0.0019309371115592833,0.0008423314851311904
DESI_MINUS_QSO,11,9.605228390794586,9.361899489957205,"[0.29747926179239165, 10155.855501558295]","[0.29662334846912225, 10138.837311915217, -0.04999999994089184, 1.0000000000608742]",False,True,-0.24332890083738157,13.605228390794586,17.361899489957203,14.401018936391328,18.953480581150686,3.7566710991626167,4.552461644759358,0.29780204946815614,0.2977906219796713,0.01544199125182048,0.03999897177581041,0.04347339566798536,1.0272336495961503,True,True,0.0003293983938315037,0.0006609952458268564,3.056396937831107e-05
DESI_MINUS_LYA,11,10.185937915461157,9.98592253587485,"[0.2988658706273552, 10145.684295464629]","[0.2967111088021971, 10136.438126058554, -0.04999999994089184, 1.0000000000608742]",False,True,-0.200015379586306,14.185937915461157,17.98592253587485,14.981728461057898,19.57750362706833,3.7999846204136922,4.595775166010434,0.2994517347613154,0.2996781964628251,0.018618875265939125,0.03890772426929767,0.04207913897773586,0.9966463591512523,True,True,0.0022169728769853014,0.002310680538986143,0.003207447983496956
