mock,om_p16,om_p50,om_p84,om_p025,om_p975,pull,in68,in95,chi2_lcdm,om_hat,chi2_mcmc,delta_aic,delta_bic,eps_p50,eps_ci95_lo,eps_ci95_hi,acceptance
11,0.3064909342977937,0.3211933419504088,0.33623435123915996,0.2925336872278308,0.3511686397714266,0.41645127475554167,1,1,1765.2090318150626,0.3207499999999999,1765.1335506459457,3.9245188308830166,14.937702391024686,0.020187399886509427,-0.04397467597951221,0.09009139759666532,0.5784765624999999
12,0.295503022767671,0.31002674227535504,0.32488767205678937,0.28171742779526426,0.3396446735285559,-0.33849359069850415,1,1,1892.7330619399693,0.3097499999999999,1892.6935180159094,3.960456075940101,14.97363963608177,0.016604675023299206,-0.04492386035190546,0.0903469347153181,0.5774609374999999
13,0.2996115334813758,0.31415408453790755,0.3290326240092147,0.28580795536001297,0.3438065646233081,-0.057504018166289715,1,1,1733.94361307613,0.3137499999999999,1733.8583834421374,3.9147703660073603,14.92795392614903,0.013423437382766554,-0.04484806535508234,0.08936729182344078,0.5819140625000001
14,0.3219849883027556,0.337038982251985,0.35243890572642433,0.3076928800332375,0.367727592487983,1.4473659953419544,0,1,1875.2966977212159,0.33674999999999994,1875.216698807337,3.9200010861211467,14.933184646262816,0.015707854502448822,-0.045614566385968044,0.08827425514834356,0.5898828125
15,0.31055529080225996,0.3254709601947992,0.34073236817732483,0.29639792560525935,0.3558879701027056,0.6939678130295875,1,1,1874.1858785418328,0.32499999999999996,1874.1101752671912,3.9242967253583174,14.937480285499987,0.012557843078010607,-0.04426709110900434,0.0907267873583163,0.5771484375
16,0.28206147625902367,0.2961614057758384,0.3105880498240166,0.2686782475498279,0.32491353907770254,-1.32077511385944,0,1,1876.1140612247716,0.29574999999999996,1875.9531703592752,3.8391091345035875,14.852292694645257,0.013959185407894365,-0.04476282376583419,0.09031694903888399,0.5706249999999999
17,0.26475149869725184,0.27852936019469526,0.2926299040565143,0.25167595420588185,0.3066343903758178,-2.6164078852657595,0,0,1874.8253376578555,0.27824999999999994,1874.8228377813307,3.99750012347522,15.01068368361689,0.023562293687898743,-0.04365392906246976,0.09135447868667083,0.5835546875
18,0.3362883006522766,0.35174436124022196,0.36755508667196124,0.32161414613812184,0.38325109595349327,2.3503766083977293,0,0,1802.5567327653564,0.3514999999999999,1802.527816818079,3.9710840527225173,14.984267612864187,0.017031320036336235,-0.04469668400159218,0.09040221710596222,0.574609375
19,0.27836810254619054,0.2924347451676942,0.3068284065413487,0.26501848235089803,0.32112249211593646,-1.5857353341092046,0,1,1825.053792608589,0.292,1825.0046668290875,3.950874220498463,14.964057780640132,0.01920028946743503,-0.04393105006442614,0.09038462819709697,0.5779296875
20,0.3169286713149358,0.3319028044132603,0.3472219828174111,0.30271452024169304,0.3624326926845223,1.1159429969799866,0,1,1776.7908683202718,0.33149999999999996,1776.7745740047635,3.9837056844917242,14.996889244633394,0.016124436740532405,-0.04509875791478534,0.08857820682260813,0.585
21,0.30383856740174997,0.3184841314460568,0.33346648230347603,0.28993555011799044,0.3483421184273366,0.23519248368394807,1,1,1852.078675620474,0.3182499999999999,1852.0157586448863,3.9370830244122317,14.950266584553901,0.018994556986038677,-0.045312088388160345,0.09173642518104265,0.580703125
22,0.30398654970867295,0.3187055752954595,0.3337666535553015,0.2900166837188051,0.3487233497989681,0.2488624831225376,1,1,1856.223519140733,0.3182499999999999,1856.196704032343,3.9731848916098897,14.98636845175156,0.009122393779483628,-0.045182912543160376,0.08745247971234817,0.58296875
23,0.3199948319124737,0.3349349470237162,0.3502172201769109,0.30580965977710506,0.3653889725991508,1.3192171875558676,0,1,1780.176066623932,0.3344999999999999,1779.9705599742979,3.794493350365883,14.807676910507553,0.013339743148901115,-0.045119745468210466,0.0901940083287191,0.5782421874999999
24,0.2950990397245683,0.30952298134419304,0.32428094554906606,0.2814085034745386,0.3389359640979648,-0.37537086773880907,1,1,1783.2470768184558,0.3092499999999999,1783.1248531385504,3.877776320094654,14.890959880236323,0.014261554275248002,-0.045027129022734584,0.08736303891032307,0.576875
